ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD
blazegraph,10k,list,blazegraph-10k-list.list,1,0,36.00,5.53
blazegraph,1k,list,blazegraph-1k-list.list,1,0,40.50,8.15
blazegraph,2k,list,blazegraph-2k-list.list,1,0,43.20,4.45
blazegraph,3k,list,blazegraph-3k-list.list,1,0,21.90,5.24
blazegraph,500,list,blazegraph-500k-list.list,1,0,26.10,3.56
blazegraph,5k,list,blazegraph-5k-list.list,1,0,42.90,8.61
blazegraph,10k,list,blazegraph-10k-list.list,2,10,-2.00,E
blazegraph,1k,list,blazegraph-1k-list.list,2,0,11976.20,1421.56
blazegraph,2k,list,blazegraph-2k-list.list,2,0,44989.10,1950.29
blazegraph,3k,list,blazegraph-3k-list.list,2,0,84454.00,1192.11
blazegraph,500,list,blazegraph-500k-list.list,2,0,3263.10,314.24
blazegraph,5k,list,blazegraph-5k-list.list,2,0,167979.60,7985.86
blazegraph,10k,list,blazegraph-10k-list.list,3,10,-2.00,E
blazegraph,1k,list,blazegraph-1k-list.list,3,0,11573.00,656.49
blazegraph,2k,list,blazegraph-2k-list.list,3,0,44714.00,1092.02
blazegraph,3k,list,blazegraph-3k-list.list,3,0,87013.70,1043.99
blazegraph,500,list,blazegraph-500k-list.list,3,0,3393.70,321.84
blazegraph,5k,list,blazegraph-5k-list.list,3,0,166621.20,1993.02
blazegraph,10k,list,blazegraph-10k-list.list,4,10,-2.00,E
blazegraph,1k,list,blazegraph-1k-list.list,4,0,10981.60,447.83
blazegraph,2k,list,blazegraph-2k-list.list,4,0,43160.00,1167.27
blazegraph,3k,list,blazegraph-3k-list.list,4,0,82901.60,1468.67
blazegraph,500,list,blazegraph-500k-list.list,4,0,3296.70,242.05
blazegraph,5k,list,blazegraph-5k-list.list,4,0,153101.70,2204.52
blazegraph,10k,list,blazegraph-10k-list.list,5,0,12105.00,2149.26
blazegraph,1k,list,blazegraph-1k-list.list,5,0,1134.10,409.97
blazegraph,2k,list,blazegraph-2k-list.list,5,0,3091.50,1024.30
blazegraph,3k,list,blazegraph-3k-list.list,5,0,3846.10,920.33
blazegraph,500,list,blazegraph-500k-list.list,5,0,739.60,248.74
blazegraph,5k,list,blazegraph-5k-list.list,5,0,6143.20,1710.84
blazegraph,10k,list,blazegraph-10k-list.list,6,0,37.00,4.31
