ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
fuseki,,seq,fuseki-60k-seq.seq,1,0,1065.1,66.0975793808,30.42,0.0979795897113,30.4028197097,0.0828376523234,7142254.4,76822.1295034,7124028.3406,78372.0943938
virtuoso,,prop_time,virtuoso-ghostbusters-prop_time.prop_time,1,0,580.1,107.892956211,8.7,0.0,8.7,0.0,5992180.0,0.0,5992180.0,0.0
fuseki,,prop_number,fuseki-1k-prop_number.prop_number,1,0,175.5,11.6726175299,32.77,0.382230297072,32.7614619883,0.373193030291,9821880.4,14934.0014142,9819008.13436,14904.3021643
virtuoso,,prop_number,virtuoso-1k-prop_number.prop_number,1,0,251.5,32.5768322585,8.7,0.0,8.7,0.0,5992180.0,0.0,5992180.0,0.0
blazegraph,,seq,blazegraph-90k-seq.seq,1,0,3036.5,129.165204293,28.64,0.210713075057,28.5969695172,0.204786745766,2603455.6,34787.3207454,2593623.03043,41487.217932
virtuoso,,uri,virtuoso-90k-uri.uri,1,0,8257.7,153.374085164,12.83,0.0458257569496,12.8214935065,0.0395010733408,5997086.4,241.959996694,5997027.64313,328.834766681
fuseki,,list,fuseki-ghostbusters-list.list,1,0,861.2,25.2895235226,29.93,0.195192212959,29.9000026565,0.189469677152,9266466.4,73266.8843983,9252999.80699,69398.2072005
virtuoso,,uri,virtuoso-30k-uri.uri,1,0,3344.5,72.0891808804,10.13,0.0458257569496,10.1237987013,0.0397230805963,5992783.2,120.979998347,5992756.97143,105.515504229
fuseki,,list,fuseki-120k-list.list,1,10,86.5,10.4904718674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuseki,,list,fuseki-90k-list.list,1,10,90.1,25.4890172427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,,seq,blazegraph-1k-seq.seq,1,0,91.8,37.2365411928,5.93,0.0640312423743,5.88878787879,0.0679378277122,316816.4,1261.72510477,316488.222857,1174.49199576
fuseki,,seq,fuseki-ghostbusters-seq.seq,1,0,219.0,22.4008928393,28.52,0.252190404258,28.5168181818,0.250091305641,8918908.4,59050.7203397,8910208.18476,47368.5778454
virtuoso,,seq,virtuoso-1k-seq.seq,1,0,39.8,2.13541565041,8.7,0.0,8.7,0.0,5992180.0,0.0,5992180.0,0.0
blazegraph,,prop_number,blazegraph-120k-prop_number.prop_number,1,0,12102.0,795.447798413,38.89,0.650307619516,38.808334129,0.66762478334,4516890.4,59887.1676458,4471053.5134,54750.4149973
virtuoso,,sop,virtuoso-60k-sop.sop,1,0,376.0,74.5841806283,12.9,0.0,12.9,0.0,5997192.0,0.0,5997192.0,0.0
blazegraph,,sop,blazegraph-60k-sop.sop,1,0,4220.2,51.376648392,31.38,0.252190404258,31.3317841453,0.268010393616,2807064.8,15457.1903061,2805227.05316,14857.241911
fuseki,,sop,fuseki-1k-sop.sop,1,0,144.8,16.436544649,31.58,0.345832329316,31.5660119048,0.343278557359,9790333.6,155305.681155,9783889.93813,152595.525075
blazegraph,,prop_time,blazegraph-ghostbusters-prop_time.prop_time,1,0,480.5,47.4747301203,6.36,0.290516780927,6.30538510622,0.285418810554,557382.0,118254.877227,538803.909723,118215.480509
