ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,1,0,E,E,12.98,0.04,12.98,0.04,6679306.4,14558.7183172,6675535.23333,14537.5320747
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,2,0,E,E,13.24,0.162480768093,13.1948781929,0.156520835114,6083428.8,412456.448016,6049164.37607,371541.40116
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,3,0,E,E,13.75,0.15,13.7218841482,0.144978884004,5857936.4,16548.4724564,5856300.59915,16339.3677766
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,4,0,E,E,14.25,0.15,14.2264386361,0.142358345061,5906482.0,5471.40939795,5903815.16737,9711.30269951
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,5,0,E,E,14.43,0.0458257569496,14.43,0.0458257569496,5916857.2,1957.40321855,5916490.3,1473.18960423
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,6,0,E,E,14.32,0.04,14.32,0.04,5924378.4,2360.94299804,5923992.0,2392.35381999
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,7,0,E,E,14.22,0.04,14.22,0.04,5939170.8,7029.78009329,5937628.0,6364.65196221
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,8,0,E,E,14.23,0.0458257569496,14.2251851852,0.0404297897748,5906996.0,16041.6199681,5900218.75653,4956.4332323
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,9,0,E,E,14.32,0.04,14.312962963,0.0303274312532,5896996.4,1561.2,5896495.27407,57.8222222222
blazegraph,15k,seq,blazegraph-15k-seq.seq,1,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,2,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,3,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,4,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,5,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,6,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,7,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,8,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,9,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,3k,seq,blazegraph-3k-seq.seq,1,0,E,E,184.0,0.0,184.0,0.0,8529560.0,0.0,8529560.0,0.0
blazegraph,3k,seq,blazegraph-3k-seq.seq,2,0,E,E,183.5,0.5,183.5,0.5,8529598.4,19.2,8529596.0,19.3494185959
blazegraph,3k,seq,blazegraph-3k-seq.seq,3,0,E,E,183.0,0.0,183.0,0.0,8529624.0,0.0,8529624.0,0.0
