ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,1,0,20.8,2.63818119165,12.98,0.04,12.98,0.04,6679306.4,14558.7183172,6675535.23333,14537.5320747
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,2,0,908.3,16.8050587622,13.24,0.162480768093,13.1948781929,0.156520835114,6083428.8,412456.448016,6049164.37607,371541.40116
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,3,0,892.9,10.8944940222,13.75,0.15,13.7218841482,0.144978884004,5857936.4,16548.4724564,5856300.59915,16339.3677766
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,4,0,900.3,9.61301201497,14.25,0.15,14.2264386361,0.142358345061,5906482.0,5471.40939795,5903815.16737,9711.30269951
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,5,0,17.2,1.93907194297,14.43,0.0458257569496,14.43,0.0458257569496,5916857.2,1957.40321855,5916490.3,1473.18960423
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,6,0,16.7,1.55241746963,14.32,0.04,14.32,0.04,5924378.4,2360.94299804,5923992.0,2392.35381999
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,7,0,18.1,1.86815416923,14.22,0.04,14.22,0.04,5939170.8,7029.78009329,5937628.0,6364.65196221
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,8,0,316.7,7.66876782802,14.23,0.0458257569496,14.2251851852,0.0404297897748,5906996.0,16041.6199681,5900218.75653,4956.4332323
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,9,0,310.1,5.8386642308,14.32,0.04,14.312962963,0.0303274312532,5896996.4,1561.2,5896495.27407,57.8222222222
fuseki,500k,uri,fuseki-500k-uri.uri,7,0,4059.2,1033.28348482,5.78,0.124899959968,5.74451825357,0.126290947215,5757430.0,146264.342484,5720583.07299,138337.752994
fuseki,500k,uri,fuseki-500k-uri.uri,9,0,3200.8,21.0751037957,6.15,0.10246950766,6.13766284359,0.102747041644,5904659.6,157610.416655,5875334.9456,159812.209388
fuseki,5k,uri,fuseki-5k-uri.uri,7,0,11055.4,1558.10585006,8.0,0.363318042492,7.94560381029,0.359267662504,6995377.6,827249.061685,6843410.38457,836219.319201
fuseki,5k,uri,fuseki-5k-uri.uri,9,0,4303.3,36.5733509539,8.81,0.13,8.78773449133,0.128036352951,7772084.8,311797.299877,7695182.59803,323997.083691
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,1,0,27.9,3.53411940941,21.8,0.118321595662,21.8,0.118321595662,6625680.8,14747.9036395,6621964.25333,14755.8088345
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,2,0,30.0,2.40831891576,21.45,0.10246950766,21.45,0.10246950766,6677124.8,14884.4882263,6673264.94,14941.2711358
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,3,0,32.7,2.86530975638,21.12,0.0979795897113,21.12,0.0979795897113,6589171.6,101356.015335,6585051.5,96386.0728189
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,4,0,29.6,1.2,20.78,0.0979795897113,20.78,0.0979795897113,6502544.0,16943.0684352,6498367.28,16526.7035675
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,5,0,19.8,1.66132477258,20.45,0.10246950766,20.45,0.10246950766,6497516.0,8514.15856089,6495395.93333,8343.64795891
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,6,0,20.3,2.36854385647,20.15,0.10246950766,20.15,0.10246950766,6531238.0,12224.3593206,6528282.13333,11522.1601873
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,7,0,18.6,1.35646599663,19.84,0.0916515138991,19.84,0.0916515138991,6562066.0,8018.78060555,6557916.33333,7543.22867213
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,8,0,37.8,8.26801064344,19.54,0.0916515138991,19.54,0.0916515138991,6595687.6,14659.0218992,6591688.90952,14644.1454278
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,9,0,18.7,1.61554944214,19.26,0.0916515138991,19.26,0.0916515138991,6646532.8,14562.6430348,6643043.93333,14390.1120317
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,1,0,40.5,7.82623792125,148.0,0.0,148.0,0.0,6085774.4,1591.59713496,6085749.23333,1602.62499981
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,2,0,36.8,6.22575296651,147.2,0.4,147.16,0.332264954517,6090952.8,817.6,6090918.8,753.445525569
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,3,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,4,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,5,0,42.1,6.87677249878,146.0,0.0,146.0,0.0,6046093.6,31.759093186,6046089.86667,30.1179901941
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,6,0,29.2,3.05941170816,145.5,0.5,145.5,0.5,6046487.6,411.3410264,6046471.3,409.484077835
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,7,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,8,0,30.1,1.81383571472,144.6,0.489897948557,144.6,0.489897948557,6047014.4,11.2,6047014.4,11.2
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,9,0,17.8,3.21869538789,144.0,0.0,144.0,0.0,6046992.4,7.0313583325,6046992.4,7.0313583325
