ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,3,0,840.6,125.600318471,4.95,0.229128784748,4.89243888293,0.247557920804,3430408.0,215647.618244,3398554.58191,227327.563996
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,10,0,303.1,20.3982842416,5.43,0.09,5.41614624506,0.0846305910235,3739074.8,85490.2845109,3725237.90419,76691.5542952
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,11,0,766.1,19.3,5.88,0.16,5.85258107723,0.158742559373,4026342.4,105206.563144,4013118.9777,101263.858018
fuseki_mem,500k,sop,fuseki_mem-500k-sop.sop,12,0,132.8,54.817515449,6.33,0.09,6.31594474153,0.103215948079,4211948.8,9836.48616936,4209974.80273,8079.73787019
fuseki,500k,uri,fuseki-500k-uri.uri,3,0,58.8,69.850984245,18.06,1.16464586892,17.7751035197,1.31723412825,237442.4,23369.9766504,232060.647578,23559.796576
fuseki,500k,uri,fuseki-500k-uri.uri,10,0,441.1,134.531371806,41.54,6.74865912608,40.2227403041,7.80704316326,432225.6,49165.0607062,419677.973988,59732.0372459
fuseki,500k,uri,fuseki-500k-uri.uri,11,0,24.0,6.09918027279,41.32,1.98736005797,41.2488333333,1.987935424,503082.0,12258.0608254,500730.98,11486.4930784
fuseki,500k,uri,fuseki-500k-uri.uri,12,0,35.9,5.78705451849,36.21,1.14669089122,36.1703333333,1.11451080449,513915.2,19358.2947018,508050.76,16732.1983853
blazegraph,3k,seq,blazegraph-3k-seq.seq,3,0,70.7,10.0801785698,19.32,0.444522215418,19.2114603175,0.472006107944,296260.4,3316.17874066,295639.406349,3879.11928367
blazegraph,3k,seq,blazegraph-3k-seq.seq,10,0,1418.9,999.340927812,54.37,4.96991951645,53.3232075397,4.15252081003,1782913.6,108237.306089,1760923.12926,63620.6004253
blazegraph,3k,seq,blazegraph-3k-seq.seq,11,0,54.4,8.52291030107,63.23,1.35428948161,63.1583333333,1.35035741049,2090589.6,383.521368375,2090527.75952,412.290874695
blazegraph,3k,seq,blazegraph-3k-seq.seq,12,0,37.1,5.87281874401,59.07,1.11628849318,59.0356666667,1.14611619539,2091003.2,30.4,2091002.53333,29.1048678632
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,3,0,34.9,6.51843539509,12.19,0.202237484162,12.1608333333,0.196498869095,472423.2,18133.6800281,464074.946667,14549.8571523
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,10,0,66.1,6.81835757349,12.65,0.229128784748,12.5846944444,0.241537336083,395241.2,9022.60610689,392154.570794,9387.81492815
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,11,0,31.2,2.99332590942,12.2,0.256904651573,12.1785,0.245683231011,402514.8,7188.51262501,400257.38,6426.36514521
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,12,0,34.4,4.36348484585,11.43,0.195192212959,11.413,0.195143536916,424811.6,8943.41777175,422522.953333,8635.45280455
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,3,0,27.4,4.38634243989,3.67,0.0458257569496,3.665,0.045,4506426.4,3283.2,4506400.8,3334.89132657
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,10,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,11,0,17.6,2.49799919936,3.36,0.0489897948557,3.36,0.0489897948557,4523663.2,2462.4,4523663.2,2462.4
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,12,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virtuoso,500k,prop_number,virtuoso-500k-prop_number.prop_number,3,0,36.2,39.8190908987,4.82,0.0979795897113,4.80733333333,0.0945374705254,4471418.4,4054.06036462,4471242.45333,4297.85403866
virtuoso,500k,prop_number,virtuoso-500k-prop_number.prop_number,10,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virtuoso,500k,prop_number,virtuoso-500k-prop_number.prop_number,11,0,15.2,2.22710574513,4.16,0.0916515138991,4.16,0.0916515138991,4488681.6,3761.37813042,4488681.6,3761.37813042
