ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,1,0,22.6,6.24819974073,4.3,0.0,4.3,0.0,2611276.8,13706.2433424,2607862.08667,14146.8685903
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,2,0,19.9,2.91376045687,4.3,0.0,4.3,0.0,2659436.4,14760.3415082,2656283.51333,14764.5639465
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,11,0,18.3,2.2825424421,4.3,0.0,4.3,0.0,2710723.6,14862.2885398,2707319.99333,14861.2500828
blazegraph,3k,seq,blazegraph-3k-seq.seq,2,0,26.4,3.77359245282,4.32,0.0748331477355,4.314,0.0785111457056,273812.4,271.160174067,273800.66,287.568761169
blazegraph,3k,seq,blazegraph-3k-seq.seq,11,0,25.4,2.65329983228,4.07,0.0458257569496,4.065,0.045,276586.8,3485.2897957,276498.44,3519.88322284
fuseki,5k,seq,fuseki-5k-seq.seq,2,0,14.6,0.663324958071,18.01,0.181383571472,18.01,0.181383571472,2403687.6,14673.2853799,2400383.26667,14757.7674326
fuseki,5k,seq,fuseki-5k-seq.seq,11,0,14.1,1.13578166916,17.37,0.167630546142,17.37,0.167630546142,2455151.6,14865.2315367,2451904.43333,14878.9064443
virtuoso,10k,prop_number,virtuoso-10k-prop_number.prop_number,1,0,10.4,0.489897948557,3.58,0.04,3.58,0.04,5077048.0,2048.0,5077048.0,2048.0
virtuoso,10k,prop_number,virtuoso-10k-prop_number.prop_number,2,0,10.8,1.88679622641,3.5,0.0,3.5,0.0,5081144.0,2048.0,5081144.0,2048.0
virtuoso,10k,prop_number,virtuoso-10k-prop_number.prop_number,11,0,10.4,1.11355287257,3.48,0.04,3.48,0.04,5085240.0,2048.0,5085240.0,2048.0
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,1,0,10.8,1.66132477258,4.3,0.0,4.3,0.0,5027076.8,1877.02300465,5027076.8,1877.02300465
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,2,0,9.9,0.538516480713,4.23,0.0458257569496,4.22333333333,0.0395811402901,5031172.8,1877.02300465,5031172.8,1877.02300465
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,11,0,10.1,0.538516480713,4.16,0.0489897948557,4.16,0.0489897948557,5035268.8,1877.02300465,5035268.8,1877.02300465
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,1,0,25.0,3.84707681233,0.3,0.0,0.3,0.0,307512.4,109.521869962,307495.4,119.519203478
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,2,0,25.0,4.69041575982,0.3,0.0,0.3,0.0,307810.0,246.097541637,307778.0,234.102541635
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,11,0,25.1,4.27668095607,0.3,0.0,0.3,0.0,308064.0,0.0,308064.0,0.0
virtuoso,500k,prop_number,virtuoso-500k-prop_number.prop_number,1,0,20.4,31.2032049636,4.54,0.0489897948557,4.54,0.0489897948557,5014788.8,1877.02300465,5014702.05714,1950.41367794
virtuoso,500k,prop_number,virtuoso-500k-prop_number.prop_number,2,0,11.0,1.788854382,4.47,0.0458257569496,4.47,0.0458257569496,5018884.8,1877.02300465,5018884.8,1877.02300465
virtuoso,500k,prop_number,virtuoso-500k-prop_number.prop_number,11,0,10.3,0.640312423743,4.39,0.03,4.39,0.03,5022980.8,1877.02300465,5022980.8,1877.02300465
virtuoso,2k,seq,virtuoso-2k-seq.seq,2,0,12.0,4.07430975749,8.56,0.0916515138991,8.56,0.0916515138991,4908800.0,1536.0,4908800.0,1536.0
virtuoso,2k,seq,virtuoso-2k-seq.seq,11,0,12.0,3.19374388453,8.27,0.09,8.26666666667,0.0894427191,4913817.6,1228.8,4913817.6,1228.8
virtuoso,2k,prop_number,virtuoso-2k-prop_number.prop_number,1,0,11.6,2.10713075057,4.1,0.0,4.1,0.0,5039774.4,2006.62199729,5039774.4,2006.62199729
virtuoso,2k,prop_number,virtuoso-2k-prop_number.prop_number,2,0,10.5,1.20415945788,4.01,0.03,4.01,0.03,5043870.4,2006.62199729,5043870.4,2006.62199729
virtuoso,2k,prop_number,virtuoso-2k-prop_number.prop_number,11,0,10.9,1.64012194669,3.97,0.0458257569496,3.97,0.0458257569496,5047966.4,2006.62199729,5047966.4,2006.62199729
fuseki_mem,1k,seq,fuseki_mem-1k-seq.seq,2,0,17.3,3.22645316098,2.6,0.0,2.6,0.0,2942413.2,14809.9853936,2939042.14667,14720.6044126
fuseki_mem,1k,seq,fuseki_mem-1k-seq.seq,11,0,17.7,1.9,2.6,0.0,2.6,0.0,2993998.4,14806.8581083,2990389.26667,14969.3640485
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,1,0,78.7,11.7307288776,4.2,0.0,4.2,0.0,2528336.8,22782.1324937,2524764.66,18160.2486106
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,2,0,76.1,6.64003012041,4.2,0.0,4.2,0.0,2513592.4,18659.0370127,2511091.28,18250.5157142
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,11,0,72.1,1.44568322948,4.2,0.0,4.2,0.0,2433207.2,21769.6024254,2428033.55556,16440.8389372
blazegraph,10k,seq,blazegraph-10k-seq.seq,2,0,25.0,5.84807660689,3.73,0.0458257569496,3.725,0.0403112887415,285763.6,494.884067232,285734.146667,484.94873571
blazegraph,10k,seq,blazegraph-10k-seq.seq,11,0,27.3,3.71618083521,3.58,0.04,3.58,0.04,286415.2,82.3028553575,286399.44,88.4322475119
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,1,0,48.0,11.1892805846,4.16,0.0489897948557,4.12055555556,0.0194126724552,2563060.4,38874.8724376,2554826.06667,16904.3511938
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,2,0,45.1,2.4269322199,4.1,0.0,4.1,0.0,2559593.6,2165.90836371,2559146.8,2350.22035468
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,11,0,44.4,2.00997512422,4.2,0.0,4.2,0.0,2568700.4,3908.95973886,2567876.57333,3717.88535932
fuseki_mem,3k,seq,fuseki_mem-3k-seq.seq,2,0,16.0,1.84390889146,2.6,0.0,2.6,0.0,3143964.8,13481.7579625,3141025.03333,13055.9746038
fuseki_mem,3k,seq,fuseki_mem-3k-seq.seq,11,0,17.4,2.90516780927,2.6,0.0,2.6,0.0,3194173.6,14825.6467731,3191092.1,14883.9003879
virtuoso,3k,seq,virtuoso-3k-seq.seq,2,0,18.1,21.3422116942,8.0,0.0774596669241,8.0,0.0774596669241,4918323.2,1638.4,4918323.2,1638.4
virtuoso,3k,seq,virtuoso-3k-seq.seq,11,0,10.9,3.04795013083,7.75,0.080622577483,7.75,0.080622577483,4922419.2,1638.4,4922419.2,1638.4
virtuoso,10k,seq,virtuoso-10k-seq.seq,2,0,11.4,1.90787840283,7.09,0.07,7.09,0.07,4934707.2,1638.4,4934707.2,1638.4
virtuoso,10k,seq,virtuoso-10k-seq.seq,11,0,19.1,22.3805719319,6.89,0.07,6.89,0.07,4938803.2,1638.4,4938803.2,1638.4
fuseki,3k,seq,fuseki-3k-seq.seq,2,0,15.6,1.95959179423,19.34,0.233238075794,19.3375,0.231638187698,2302006.0,13321.3633236,2299020.49333,13051.4472755
fuseki,3k,seq,fuseki-3k-seq.seq,11,0,14.9,1.64012194669,18.64,0.18,18.6333333333,0.18973665961,2352252.8,14853.2903075,2348982.53333,14817.0586939
virtuoso,3k,prop_number,virtuoso-3k-prop_number.prop_number,1,0,10.3,0.9,3.9,0.0,3.9,0.0,5052062.4,2006.62199729,5052062.4,2006.62199729
