ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
fuseki,60k,seq,fuseki-60k-seq.seq,1,0,1065.1,66.0975793808,30.42,0.0979795897113,30.4028197097,0.0828376523234,7142254.4,76822.1295034,7124028.3406,78372.0943938
virtuoso,ghostbusters,prop_time,virtuoso-ghostbusters-prop_time.prop_time,1,0,515.5,62.3478147171,1.9,0.0,1.9,6.66133814775e-17,2664760.0,0.0,2664736.0,72.0
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,1,0,175.5,11.6726175299,32.77,0.382230297072,32.7614619883,0.373193030291,9821880.4,14934.0014142,9819008.13436,14904.3021643
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,1,0,261.1,37.5671398965,1.9,0.0,1.9,8.881784197e-17,2664504.0,0.0,2664504.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,1,0,3036.5,129.165204293,28.64,0.210713075057,28.5969695172,0.204786745766,2603455.6,34787.3207454,2593623.03043,41487.217932
virtuoso,90k,uri,virtuoso-90k-uri.uri,1,0,8041.8,91.6523867665,14.7,0.0,14.7,1.37596009118e-15,2719732.0,0.0,2719732.0,0.0
fuseki,ghostbusters,list,fuseki-ghostbusters-list.list,1,0,861.2,25.2895235226,29.93,0.195192212959,29.9000026565,0.189469677152,9266466.4,73266.8843983,9252999.80699,69398.2072005
virtuoso,30k,uri,virtuoso-30k-uri.uri,1,0,3454.0,149.396117754,2.1,0.0,2.1,0.0,2664760.0,0.0,2664760.0,0.0
fuseki,120k,list,fuseki-120k-list.list,1,10,86.5,10.4904718674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuseki,90k,list,fuseki-90k-list.list,1,10,90.1,25.4890172427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,1k,seq,blazegraph-1k-seq.seq,1,0,91.8,37.2365411928,5.93,0.0640312423743,5.88878787879,0.0679378277122,316816.4,1261.72510477,316488.222857,1174.49199576
fuseki,ghostbusters,seq,fuseki-ghostbusters-seq.seq,1,0,219.0,22.4008928393,28.52,0.252190404258,28.5168181818,0.250091305641,8918908.4,59050.7203397,8910208.18476,47368.5778454
virtuoso,1k,seq,virtuoso-1k-seq.seq,1,0,41.0,3.03315017762,1.9,0.0,1.9,1.01753620973e-16,2664504.0,0.0,2664504.0,0.0
blazegraph,120k,prop_number,blazegraph-120k-prop_number.prop_number,1,0,12102.0,795.447798413,38.89,0.650307619516,38.808334129,0.66762478334,4516890.4,59887.1676458,4471053.5134,54750.4149973
virtuoso,60k,sop,virtuoso-60k-sop.sop,1,0,353.8,52.0034614233,14.7,0.0,14.7,7.1054273576e-16,2719732.0,0.0,2719732.0,0.0
blazegraph,60k,sop,blazegraph-60k-sop.sop,1,0,4220.2,51.376648392,31.38,0.252190404258,31.3317841453,0.268010393616,2807064.8,15457.1903061,2805227.05316,14857.241911
fuseki,1k,sop,fuseki-1k-sop.sop,1,0,144.8,16.436544649,31.58,0.345832329316,31.5660119048,0.343278557359,9790333.6,155305.681155,9783889.93813,152595.525075
blazegraph,ghostbusters,prop_time,blazegraph-ghostbusters-prop_time.prop_time,1,0,480.5,47.4747301203,6.36,0.290516780927,6.30538510622,0.285418810554,557382.0,118254.877227,538803.909723,118215.480509
virtuoso,30k,list,virtuoso-30k-list.list,1,0,71396.2,708.205168013,2.06,0.0489897948557,2.05739932588,0.0474638559684,2664760.0,0.0,2664760.0,0.0
fuseki,90k,prop_number,fuseki-90k-prop_number.prop_number,1,0,12397.0,134.840646691,36.37,0.68124885321,36.2176406784,0.698205261185,9383003.6,292.905172368,9378758.87855,12542.8891294
fuseki,30k,prop_time,fuseki-30k-prop_time.prop_time,1,0,2307.8,124.745981899,27.75,0.05,27.6925232936,0.0659942505351,7752205.6,213082.438351,7715384.61072,213511.518674
virtuoso,90k,seq,virtuoso-90k-seq.seq,1,0,781.3,37.6750580623,14.7,0.0,14.7,9.56597433645e-16,2719732.0,0.0,2719732.0,0.0
blazegraph,60k,prop_number,blazegraph-60k-prop_number.prop_number,1,0,5491.0,320.523634074,26.22,0.589576118919,26.1245556815,0.598643047226,2223976.0,33528.3624414,2213475.87087,42121.1942102
fuseki,60k,prop_number,fuseki-60k-prop_number.prop_number,1,0,8549.9,170.773797756,31.6,0.596657355607,31.4656664155,0.619437233238,7590746.8,550344.769973,7479458.84274,601865.210743
blazegraph,60k,prop_time,blazegraph-60k-prop_time.prop_time,1,0,2953.5,201.722209982,24.06,0.49638694584,23.9771290508,0.487873602407,2041412.4,11920.2626078,2033276.25936,18087.7559245
blazegraph,90k,sop,blazegraph-90k-sop.sop,1,0,6369.8,144.21151133,40.46,0.300665927567,40.4241074993,0.299293685031,4538341.6,46796.0058877,4532096.92866,54974.1415896
fuseki,120k,uri,fuseki-120k-uri.uri,1,0,11160.8,126.912410741,40.0,0.460434577329,39.8912534244,0.464577873014,8110909.2,887531.873993,8020414.10793,899032.898075
virtuoso,120k,prop_number,virtuoso-120k-prop_number.prop_number,1,10,600436.3,403.422867473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,ghostbusters,list,blazegraph-ghostbusters-list.list,1,0,15836.4,994.103636448,9.36,0.73511903798,9.18391564593,0.849552652931,677552.0,82258.1277881,659916.252605,83258.4745845
fuseki,30k,sop,fuseki-30k-sop.sop,1,0,3473.4,87.6198607623,28.95,0.15,28.88757192,0.148508736046,7499324.8,73312.2190045,7489612.3543,71147.7468033
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,1,0,1544.2,70.6198272442,2.1,0.0,2.1,0.0,2665850.0,1006.0,2665850.0,1006.0
virtuoso,ghostbusters,seq,virtuoso-ghostbusters-seq.seq,1,0,249.1,17.7056488161,2.0,0.0,2.0,0.0,2664760.0,0.0,2664760.0,0.0
