ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
blazegraph,90k,seq,blazegraph-90k-seq.seq,1,10,36.2,3.96988664826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,2,10,35.4,5.74804314528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,3,10,37.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,4,10,44.5,9.59426912276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,5,10,49.5,4.34165866922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,6,10,39.3,4.7759815745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,7,10,39.0,5.63914887195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,8,10,34.5,2.06155281281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,9,10,38.6,2.37486841741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,30k,sop,blazegraph-30k-sop.sop,1,10,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,30k,sop,blazegraph-30k-sop.sop,2,10,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,30k,sop,blazegraph-30k-sop.sop,3,10,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,30k,sop,blazegraph-30k-sop.sop,4,10,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,30k,sop,blazegraph-30k-sop.sop,5,10,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,30k,sop,blazegraph-30k-sop.sop,6,10,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,30k,sop,blazegraph-30k-sop.sop,7,10,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,30k,sop,blazegraph-30k-sop.sop,8,10,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
