ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
blazegraph,10k,seq,blazegraph-10k-seq.seq,1,0,82.8,122.81840253,3.26,0.0489897948557,3.19754471545,0.15384578292,254344.4,1772.5068801,252298.309315,6293.06167383
blazegraph,10k,seq,blazegraph-10k-seq.seq,2,0,609.2,42.7452921384,41.65,0.128452325787,41.5983266108,0.13874306708,3594178.4,61833.3230341,3589874.59739,60429.4296472
blazegraph,10k,seq,blazegraph-10k-seq.seq,3,0,1729.7,66.7323759505,41.11,0.375366487582,41.0447810974,0.369501935071,3413574.8,59460.4493774,3398912.97488,65310.9053348
blazegraph,10k,seq,blazegraph-10k-seq.seq,4,0,2733.6,259.041772693,5.94,1.27921851144,5.70392542764,1.33854963457,1875822.8,649612.220021,1761114.68741,701966.933032
blazegraph,10k,seq,blazegraph-10k-seq.seq,5,0,754.9,41.2685109981,37.55,0.261725046566,37.4837640955,0.256803953333,2874881.2,3111.6,2873847.13284,2355.68764698
blazegraph,10k,seq,blazegraph-10k-seq.seq,6,0,14564.4,408.934273447,28.5,5.96003355695,27.4126736148,6.08579414066,2505987.2,249869.629564,2468036.38529,252561.662924
blazegraph,10k,seq,blazegraph-10k-seq.seq,7,0,2453.4,586.261579843,16.06,1.76816288842,15.7497463748,1.73372928753,1720406.8,172221.750367,1687131.25607,171930.61261
blazegraph,10k,seq,blazegraph-10k-seq.seq,8,0,36.6,8.60464990572,12.84,0.0489897948557,12.84,0.0489897948557,1366807.2,140.886337166,1366789.02667,123.611837621
blazegraph,10k,seq,blazegraph-10k-seq.seq,9,0,1922.2,1060.49618575,8.74,2.32774569058,8.35068913824,2.21482733226,730816.0,347009.671782,691472.269829,330050.703003
blazegraph,15k,list,blazegraph-15k-list.list,1,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,list,blazegraph-15k-list.list,2,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,list,blazegraph-15k-list.list,3,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,list,blazegraph-15k-list.list,4,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,list,blazegraph-15k-list.list,5,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,list,blazegraph-15k-list.list,6,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,list,blazegraph-15k-list.list,7,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,list,blazegraph-15k-list.list,8,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,list,blazegraph-15k-list.list,9,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,5k,uri,blazegraph-5k-uri.uri,1,0,84.3,28.3339019551,237.7,0.458257569496,237.7,0.458257569496,13299914.4,503.822826001,13299825.8722,691.431544173
blazegraph,5k,uri,blazegraph-5k-uri.uri,2,0,72.1,3.08058436015,236.6,0.489897948557,236.6,0.489897948557,13300482.4,66.2649228476,13300479.2,67.0713053399
blazegraph,5k,uri,blazegraph-5k-uri.uri,3,0,96.2,12.4241699924,235.5,0.5,235.5,0.5,13300520.0,0.0,13300520.0,0.0
blazegraph,5k,uri,blazegraph-5k-uri.uri,4,0,138.6,9.57287835502,234.4,0.489897948557,234.4,0.489897948557,13300926.4,297.919183672,13300890.3077,263.048964216
blazegraph,5k,uri,blazegraph-5k-uri.uri,5,0,75.0,10.5924501415,233.4,0.489897948557,233.377777778,0.466666666667,13302333.6,296.384614985,13302293.1744,311.406657479
blazegraph,5k,uri,blazegraph-5k-uri.uri,6,0,4823.9,414.047207453,232.3,0.458257569496,232.3,0.458257569496,13315420.4,1748.50285673,13314926.7389,2732.52138421
blazegraph,5k,uri,blazegraph-5k-uri.uri,7,6,E,E,29.6153846154,44.4353090052,29.543495103,44.3290170551,1647706.15385,2472496.9751,1646297.94537,2470361.35057
blazegraph,5k,uri,blazegraph-5k-uri.uri,8,0,79.2,6.53911308971,229.9,0.3,229.9,0.3,13316792.8,48.9505873305,13316791.9,49.3324436857
blazegraph,5k,uri,blazegraph-5k-uri.uri,9,0,73356.0,1464.89364802,7200552.0,7366530.43384,1145.84156155,1060.20827034,13300658.0,175.592710555,6235990.82063,235345.52674
blazegraph,2k,list,blazegraph-2k-list.list,1,0,43.2,4.44522215418,10.89,0.07,10.88,0.0640312423743,775970.8,23.8696459965,775948.72381,78.5431083161
blazegraph,2k,list,blazegraph-2k-list.list,2,0,44989.1,1950.28666867,102.81,26.8096419223,99.3359326115,29.6672580844,5278541.6,242777.32747,5123337.20517,535118.740149
blazegraph,2k,list,blazegraph-2k-list.list,3,0,44714.0,1092.01712441,149.0,6.27694193059,147.985767383,6.30778604164,5563390.4,76963.1827242,5559415.69473,73418.8578728
blazegraph,2k,list,blazegraph-2k-list.list,4,0,43160.0,1167.26732157,161.9,1.97230829233,161.362302357,1.9826161556,5829868.0,90199.0258218,5799577.45367,86761.4910109
blazegraph,2k,list,blazegraph-2k-list.list,5,0,3091.5,1024.30203065,162.1,1.13578166916,161.87055972,1.11186413469,5955474.8,3074.99752195,5954500.02979,1190.10706228
blazegraph,2k,list,blazegraph-2k-list.list,6,0,37.4,6.35924523823,159.6,0.489897948557,159.6,0.489897948557,5955635.2,62.4,5955607.25333,111.058442273
blazegraph,2k,list,blazegraph-2k-list.list,7,0,43.3,4.4283179651,158.6,0.489897948557,158.6,0.489897948557,5956266.0,289.823394501,5956202.75429,318.075751008
blazegraph,2k,list,blazegraph-2k-list.list,8,0,43382.3,867.165503235,155.8,1.83303027798,155.223226047,1.75185624031,5996781.2,67655.104595,5989688.46296,57378.6846546
blazegraph,2k,list,blazegraph-2k-list.list,9,0,48341.4,1357.55701169,157.4,2.24499443206,157.056437011,2.40307342732,6202899.2,17630.746126,6200788.1566,17553.8016463
blazegraph,3k,seq,blazegraph-3k-seq.seq,1,0,26.4,3.8,184.0,0.0,184.0,0.0,8529560.0,0.0,8529560.0,0.0
blazegraph,3k,seq,blazegraph-3k-seq.seq,2,0,52.7,4.00124980475,183.5,0.5,183.5,0.5,8529598.4,19.2,8529596.0,19.3494185959
blazegraph,3k,seq,blazegraph-3k-seq.seq,3,0,77.9,8.5842879728,183.0,0.0,183.0,0.0,8529624.0,0.0,8529624.0,0.0
blazegraph,3k,seq,blazegraph-3k-seq.seq,4,0,121.1,11.9620232402,183.0,0.0,183.0,0.0,8529878.0,110.955847074,8529873.8,114.857999286
blazegraph,3k,seq,blazegraph-3k-seq.seq,5,0,68.4,7.88923316933,183.0,0.0,183.0,0.0,8530056.0,86.8101376568,8530047.0,71.8957578721
blazegraph,3k,seq,blazegraph-3k-seq.seq,6,0,695.6,49.2710868563,182.7,0.458257569496,182.640540541,0.454029922139,8530235.6,2.8,8530234.58426,3.03613111252
blazegraph,3k,seq,blazegraph-3k-seq.seq,7,0,595.4,176.066010348,182.0,0.0,182.0,0.0,8530244.8,3.91918358845,8530244.01404,3.98616258475
blazegraph,3k,seq,blazegraph-3k-seq.seq,8,0,33.1,5.00899191455,182.0,0.0,182.0,0.0,8530253.6,16.8,8530253.6,16.8
blazegraph,3k,seq,blazegraph-3k-seq.seq,9,0,3670.5,1327.80459782,182.0,0.0,182.0,0.0,8495256.8,31273.5396295,8493287.32547,30882.7394399
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,1,0,40.5,7.82623792125,148.0,0.0,148.0,0.0,6085774.4,1591.59713496,6085749.23333,1602.62499981
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,2,0,36.8,6.22575296651,147.2,0.4,147.16,0.332264954517,6090952.8,817.6,6090918.8,753.445525569
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,3,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,4,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,5,0,42.1,6.87677249878,146.0,0.0,146.0,0.0,6046093.6,31.759093186,6046089.86667,30.1179901941
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,6,0,29.2,3.05941170816,145.5,0.5,145.5,0.5,6046487.6,411.3410264,6046471.3,409.484077835
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,7,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,8,0,30.1,1.81383571472,144.6,0.489897948557,144.6,0.489897948557,6047014.4,11.2,6047014.4,11.2
blazegraph,2k,prop_time,blazegraph-2k-prop_time.prop_time,9,0,17.8,3.21869538789,144.0,0.0,144.0,0.0,6046992.4,7.0313583325,6046992.4,7.0313583325
blazegraph,15k,seq,blazegraph-15k-seq.seq,1,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,2,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,3,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,4,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,5,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,6,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,7,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,8,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,15k,seq,blazegraph-15k-seq.seq,9,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,1,0,64.8,7.01141925718,204.4,0.489897948557,204.4,0.489897948557,13313871.2,36.6955038118,13313869.45,35.2891272207
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,2,0,57.4,8.51116913238,203.7,0.458257569496,203.7,0.458257569496,13314108.0,0.0,13314105.1429,8.57142857127
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,3,0,83.3,12.0170711906,202.9,0.3,202.9,0.3,13314108.0,0.0,13314108.0,0.0
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,4,0,72.8,4.97594212185,202.0,0.0,202.0,0.0,13314108.0,0.0,13314108.0,0.0
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,5,0,88.0,7.4161984871,13.3,0.0,13.3,0.0,444972.0,1079.5628745,444562.057273,1008.09667868
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,6,0,1255.9,61.7259264815,14.56,0.613514466007,14.4332397061,0.607391143435,503991.2,22531.1982673,498410.874257,23271.710341
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,7,0,1233.3,44.0773184302,16.6,0.574456264654,16.5157186797,0.588131807081,526105.6,12131.1407807,522014.464725,11673.4279552
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,8,0,32.4,3.87814388593,199.0,0.0,199.0,0.0,13314600.0,0.0,13314600.0,0.0
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,9,0,294.1,12.4775798936,17.75,0.10246950766,17.7222886119,0.111004729821,520459.6,8441.35030904,518445.275884,8740.51043351
blazegraph,5k,list,blazegraph-5k-list.list,1,0,42.9,8.6075548212,0.3,0.0,0.3,0.0,287874.0,774.372003626,287713.045714,544.342914226
blazegraph,5k,list,blazegraph-5k-list.list,2,0,167979.6,7985.85698845,100.73,37.2011572401,94.6644169505,40.1208348701,8304152.4,1072327.40287,7685901.61904,1215310.18746
blazegraph,5k,list,blazegraph-5k-list.list,3,0,166621.2,1993.02206711,181.0,14.092551224,178.989600541,14.4873124315,11294448.8,906676.327418,10973642.9401,868213.059286
blazegraph,5k,list,blazegraph-5k-list.list,4,0,153101.7,2204.52444078,215.2,6.6302337817,213.944393567,6.58191518912,13113943.2,153111.90133,12981017.9445,161592.459526
blazegraph,5k,list,blazegraph-5k-list.list,5,0,6143.2,1710.84475041,222.6,0.916515138991,222.509608541,1.01094277472,13233062.4,2490.48570363,13232437.2332,2111.63455602
