ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,1,0,23.6,3.55527776693,4.2,0.0,4.2,0.0,2600487.2,14795.8696723,2596830.76667,14806.2352234
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,2,0,25.5,2.41867732449,4.2,0.0,4.2,0.0,2652212.8,14762.513477,2648597.74,14749.7355434
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,3,0,24.3,2.1,4.2,0.0,4.2,0.0,2703415.6,14706.2807208,2699857.91333,14886.2049247
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,4,0,23.0,1.18321595662,4.12,0.04,4.115,0.0320156211872,2754669.2,14702.1225189,2751350.66667,14725.101502
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,5,0,19.4,1.28062484749,4.1,0.0,4.1,0.0,2806291.2,14856.310476,2803139.0,15093.7848821
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,6,0,19.0,0.894427191,4.1,0.0,4.1,0.0,2857488.4,14722.0199103,2854278.73333,14907.6049696
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,7,0,17.8,1.07703296143,4.1,0.0,4.1,0.0,2908718.8,14794.6022643,2905309.13333,14680.5738491
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,8,0,25.9,1.81383571472,4.1,0.0,4.1,0.0,2960206.8,14727.1882503,2956594.96,14626.9276861
fuseki,500k,prop_number,fuseki-500k-prop_number.prop_number,9,0,37.4,38.2261690469,8.02,0.177763888346,7.981875,0.147314767165,242939.6,17039.5210684,238753.095,17850.4942447
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,1,0,16.6,1.95959179423,80.46,0.0489897948557,80.46,0.0489897948557,9024924.0,0.0,9024924.0,0.0
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,2,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,3,0,160.9,27.9229296457,80.16,0.0489897948557,80.1553846154,0.0471432413725,9025964.0,0.0,9025943.2,62.4
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,4,0,144.6,34.038801389,80.01,0.0538516480713,80.01,0.0538516480713,9026988.0,1651.15038685,9026854.88,1523.00852578
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,5,0,16.6,2.24499443206,79.85,0.05,79.85,0.05,9030060.0,0.0,9030060.0,0.0
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,6,0,15.9,4.06078810085,79.71,0.0538516480713,79.71,0.0538516480713,9030060.0,0.0,9030060.0,0.0
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,7,0,14.4,2.57681974535,79.55,0.05,79.55,0.05,9030060.0,0.0,9030060.0,0.0
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,8,0,14.7,2.86530975638,79.4,0.0632455532034,79.4,0.0632455532034,9030060.0,0.0,9030060.0,0.0
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,9,0,14.6,2.93938769134,79.25,0.05,79.25,0.05,9030060.0,0.0,9030060.0,0.0
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,1,0,27.9,3.53411940941,21.8,0.118321595662,21.8,0.118321595662,6625680.8,14747.9036395,6621964.25333,14755.8088345
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,2,0,30.0,2.40831891576,21.45,0.10246950766,21.45,0.10246950766,6677124.8,14884.4882263,6673264.94,14941.2711358
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,3,0,32.7,2.86530975638,21.12,0.0979795897113,21.12,0.0979795897113,6589171.6,101356.015335,6585051.5,96386.0728189
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,4,0,29.6,1.2,20.78,0.0979795897113,20.78,0.0979795897113,6502544.0,16943.0684352,6498367.28,16526.7035675
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,5,0,19.8,1.66132477258,20.45,0.10246950766,20.45,0.10246950766,6497516.0,8514.15856089,6495395.93333,8343.64795891
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,6,0,20.3,2.36854385647,20.15,0.10246950766,20.15,0.10246950766,6531238.0,12224.3593206,6528282.13333,11522.1601873
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,7,0,18.6,1.35646599663,19.84,0.0916515138991,19.84,0.0916515138991,6562066.0,8018.78060555,6557916.33333,7543.22867213
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,8,0,37.8,8.26801064344,19.54,0.0916515138991,19.54,0.0916515138991,6595687.6,14659.0218992,6591688.90952,14644.1454278
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,9,0,25.3,4.26731765867,6.77,0.179164728672,6.75833333333,0.187860764043,302398.4,16208.7974335,298337.76,16471.3207653
virtuoso,10k,prop_number,virtuoso-10k-prop_number.prop_number,1,0,16.3,2.83019433962,91.22,0.04,91.22,0.04,9058288.0,0.0,9058288.0,0.0
