ENGINE,SIZE,MODEL,PREFIX,QUERY,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
virtuoso,ghostbusters,prop_time,virtuoso-ghostbusters-prop_time.prop_time,1,553.7,70.4869491466,43.57,0.0640312423743,43.57,0.0640312423743,2786808.0,0.0,2786808.0,0.0
virtuoso,30k,prop_number,virtuoso-30k-prop_number.prop_number,1,1449.4,83.5909085966,42.7,0.0,42.698976378,0.00307086614173,2786808.0,0.0,2786808.0,0.0
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,1,252.5,23.3077240416,44.05,0.080622577483,44.05,0.080622577483,2786808.0,0.0,2786808.0,0.0
virtuoso,ghostbusters,seq,virtuoso-ghostbusters-seq.seq,1,15.1,2.21133443875,43.02,0.0748331477355,43.02,0.0748331477355,2786808.0,0.0,2786808.0,0.0
virtuoso,90k,uri,virtuoso-90k-uri.uri,1,8244.8,154.661436693,47.15,0.15,47.1205781952,0.15399538562,2786808.0,0.0,2786808.0,0.0
virtuoso,90k,prop_time,virtuoso-90k-prop_time.prop_time,1,1952.6,111.599462364,42.42,0.04,42.4026617796,0.00580385602691,2786808.0,0.0,2786808.0,0.0
virtuoso,30k,uri,virtuoso-30k-uri.uri,1,3306.1,92.397456675,42.86,0.0489897948557,42.8490538563,0.0458137177468,2786808.0,0.0,2786808.0,0.0
virtuoso,30k,sop,virtuoso-30k-sop.sop,1,13.5,1.91049731745,42.53,0.0640312423743,42.53,0.0640312423743,2786808.0,0.0,2786808.0,0.0
virtuoso,120k,uri,virtuoso-120k-uri.uri,1,11418.4,85.8151501776,79.17,0.451774279923,79.0854956996,0.448261203901,2786852.0,0.0,2786852.0,0.0
virtuoso,90k,sop,virtuoso-90k-sop.sop,1,14.9,2.38537208838,80.46,0.0916515138991,80.46,0.0916515138991,2792660.0,0.0,2792660.0,0.0
virtuoso,ghostbusters,uri,virtuoso-ghostbusters-uri.uri,1,1167.8,88.24375332,43.22,0.04,43.2041212978,0.0301784932183,2786808.0,0.0,2786808.0,0.0
virtuoso,90k,list,virtuoso-90k-list.list,1,82980.0,568.654376577,44.94,1.2507597691,44.7066965739,1.264268218,2786808.0,0.0,2786808.0,0.0
virtuoso,1k,prop_time,virtuoso-1k-prop_time.prop_time,1,3712.6,9337.63021542,44.59,0.144568322948,44.5813351732,0.135899096779,2786808.0,0.0,2786808.0,0.0
virtuoso,90k,prop_number,virtuoso-90k-prop_number.prop_number,1,2856.1,98.3498347736,47.22,0.04,47.2075505962,0.0162650865962,2786808.0,0.0,2786808.0,0.0
virtuoso,1k,seq,virtuoso-1k-seq.seq,1,15.3,1.34536240471,44.3,0.0774596669241,44.3,0.0774596669241,2786808.0,0.0,2786808.0,0.0
virtuoso,ghostbusters,list,virtuoso-ghostbusters-list.list,1,733.4,85.0813728145,43.37,0.0640312423743,43.37,0.0640312423743,2786808.0,0.0,2786808.0,0.0
virtuoso,ghostbusters,sop,virtuoso-ghostbusters-sop.sop,1,15.7,2.05182845287,42.61,0.07,42.61,0.07,2786808.0,0.0,2786808.0,0.0
virtuoso,60k,sop,virtuoso-60k-sop.sop,1,13.0,1.09544511501,47.14,0.0663324958071,47.14,0.0663324958071,2786808.0,0.0,2786808.0,0.0
virtuoso,120k,seq,virtuoso-120k-seq.seq,1,15.4,1.90787840283,79.9,0.0,79.9,0.0,2786852.0,0.0,2786852.0,0.0
virtuoso,30k,seq,virtuoso-30k-seq.seq,1,14.5,1.91049731745,42.81,0.07,42.81,0.07,2786808.0,0.0,2786808.0,0.0
virtuoso,120k,list,virtuoso-120k-list.list,1,-1,-1,64.46,9.47292985301,62.9251677083,9.51530158575,2786852.0,0.0,2786851.08512,2.74463445428
virtuoso,1k,sop,virtuoso-1k-sop.sop,1,15.2,1.77763888346,43.8,0.0774596669241,43.8,0.0774596669241,2786808.0,0.0,2786808.0,0.0
virtuoso,30k,list,virtuoso-30k-list.list,1,9942.1,138.246482776,42.6,0.118321595662,42.5664946818,0.11085915517,2786808.0,0.0,2786808.0,0.0
virtuoso,ghostbusters,prop_number,virtuoso-ghostbusters-prop_number.prop_number,1,720.8,80.9046352195,42.82,0.06,42.82,0.06,2786808.0,0.0,2786808.0,0.0
virtuoso,90k,seq,virtuoso-90k-seq.seq,1,13.2,0.871779788708,47.28,0.0748331477355,47.28,0.0748331477355,2786808.0,0.0,2786808.0,0.0
virtuoso,120k,sop,virtuoso-120k-sop.sop,1,14.7,2.2825424421,80.18,0.0748331477355,80.18,0.0748331477355,2792660.0,0.0,2792660.0,0.0
virtuoso,30k,prop_time,virtuoso-30k-prop_time.prop_time,1,942.0,71.8247868079,42.44,0.0489897948557,42.4365714286,0.0457642584004,2786808.0,0.0,2786808.0,0.0
virtuoso,1k,list,virtuoso-1k-list.list,1,232.6,14.6232691283,44.8,0.0774596669241,44.8,0.0774596669241,2786808.0,0.0,2786808.0,0.0
virtuoso,120k,prop_number,virtuoso-120k-prop_number.prop_number,1,4228.6,134.986814171,80.34,0.200997512422,80.3054381499,0.207409000646,2787432.8,1742.4,2786880.85766,86.572972973
virtuoso,1k,uri,virtuoso-1k-uri.uri,1,243.2,13.5484316436,44.55,0.080622577483,44.55,0.080622577483,2786808.0,0.0,2786808.0,0.0
virtuoso,120k,prop_time,virtuoso-120k-prop_time.prop_time,1,2559.8,105.251888344,47.11,0.03,47.0811618955,0.0310305623071,2786808.0,0.0,2786808.0,0.0
